service_date,day_type,bus,rail_boardings,total_rides
2001-01-01,Sunday/Holiday,297192,126455,423647
2001-01-02,Weekday,780827,501952,1282779
2001-01-03,Weekday,824923,536432,1361355
2001-01-04,Weekday,870021,550011,1420032
2001-01-05,Weekday,890426,557917,1448343
2001-01-06,Saturday,577401,255356,832757
2001-01-07,Sunday/Holiday,375831,169825,545656
2001-01-08,Weekday,985221,590706,1575927
2001-01-09,Weekday,978377,599905,1578282
2001-01-10,Weekday,984884,602052,1586936
2001-01-11,Weekday,995561,607503,1603064
2001-01-12,Weekday,1018985,605252,1624237
2001-01-13,Saturday,591791,270056,861847
2001-01-14,Sunday/Holiday,373091,174842,547933
2001-01-15,Weekday,675845,412149,1087994
2001-01-16,Weekday,1024367,622163,1646530
2001-01-17,Weekday,1018690,620343,1639033
2001-01-18,Weekday,1006996,618832,1625828
2001-01-19,Weekday,909964,583851,1493815
2001-01-20,Saturday,582348,263815,846163
2001-01-21,Sunday/Holiday,378381,172107,550488
2001-01-22,Weekday,1005936,598777,1604713
2001-01-23,Weekday,1019983,610352,1630335
2001-01-24,Weekday,991661,606835,1598496
2001-01-25,Weekday,1004257,609877,1614134
2001-01-26,Weekday,965324,597039,1562363
2001-01-27,Saturday,590836,268078,858914
2001-01-28,Sunday/Holiday,368819,174434,543253
2001-01-29,Weekday,953532,587052,1540584
2001-01-30,Weekday,982046,607858,1589904
2001-01-31,Weekday,999392,610508,1609900
2001-02-01,Weekday,1054608,615268,1669876
2001-02-02,Weekday,966701,577767,1544468
2001-02-03,Saturday,611703,263612,875315
2001-02-04,Sunday/Holiday,404212,178398,582610
2001-02-05,Weekday,1045944,600588,1646532
2001-02-06,Weekday,1039393,612435,1651828
2001-02-07,Weekday,1015059,609022,1624081
2001-02-08,Weekday,1007760,610237,1617997
2001-02-09,Weekday,970826,593354,1564180
2001-02-10,Saturday,605404,271313,876717
2001-02-11,Sunday/Holiday,405433,178810,584243
2001-02-12,Weekday,872330,539393,1411723
2001-02-13,Weekday,1050834,622753,1673587
2001-02-14,Weekday,1004304,610966,1615270
2001-02-15,Weekday,1028938,613323,1642261
2001-02-16,Weekday,1033040,601418,1634458
2001-02-17,Saturday,591717,269294,861011
2001-02-18,Sunday/Holiday,388788,176855,565643
2001-02-19,Weekday,782447,457891,1240338
2001-02-20,Weekday,1035400,610284,1645684
2001-02-21,Weekday,986212,600133,1586345
2001-02-22,Weekday,986399,606302,1592701
2001-02-23,Weekday,1024235,602352,1626587
2001-02-24,Saturday,505193,246795,751988
2001-02-25,Sunday/Holiday,351637,172132,523769
2001-02-26,Weekday,1009329,609256,1618585
2001-02-27,Weekday,1000630,609305,1609935
2001-02-28,Weekday,990416,610013,1600429
2001-03-01,Weekday,1051889,618440,1670329
